trjFile,tMinTTC,xMinPET,yMinPET,zMinPET,TTC,PET,MaxS,DeltaS,DR,MaxD,MaxDeltaV,ConflictAngle,ClockAngle,ConflictType,PostCrashV,PostCrashHeading,FirstVID,FirstLink,FirstLane,FirstLength,FirstWidth,FirstHeading,FirstVMinTTC,FirstDeltaV,xFirstCSP,yFirstCSP,xFirstCEP,yFirstCEP,SecondVID,SecondLink,SecondLane,SecondLength,SecondWidth,SecondHeading,SecondVMinTTC,SecondDeltaV,xSecondCSP,ySecondCSP,xSecondCEP,ySecondCEP,P(UEA),mTTC,mPET,
S000002_001.trj,1470.50,207.03,126.47,0.00,1.70,2.70,14.27,0.63,-0.55,-3.14,0.31,1.50,5:57,lane change,14.01,90.76,782,3,1,4.75,2.03,89.99,13.76,0.31,207.03,123.77,207.04,155.28,784,3,1,4.75,2.03,91.49,14.27,0.31,207.02,81.96,205.41,143.68,0.00,99.00,99.00,
S000002_001.trj,1494.10,259.01,201.18,0.00,2.10,2.20,14.15,0.03,-0.54,-3.07,0.02,0.00,5:59,rear end,14.14,179.99,790,2,1,4.59,2.04,179.99,14.12,0.02,259.01,201.18,222.13,201.18,792,2,1,4.75,2.03,179.99,14.15,0.02,294.18,201.17,238.92,201.18,0.00,99.00,3.56,
S000002_001.trj,1495.00,270.12,201.17,0.00,2.70,1.50,14.15,2.02,-0.53,-1.67,1.05,0.00,6:00,rear end,13.18,179.99,792,2,1,4.75,2.03,179.99,14.15,0.97,270.12,201.17,238.92,201.18,794,2,1,4.32,2.06,179.99,12.13,1.05,291.90,201.17,259.23,201.18,0.00,99.00,99.00,
S000002_001.trj,1495.60,238.41,197.88,0.00,2.40,3.50,15.91,6.17,-0.56,-3.16,3.14,0.00,5:59,rear end,12.77,179.99,789,2,2,4.75,2.03,179.99,9.74,3.04,238.41,197.88,220.19,197.88,795,2,2,4.59,2.04,179.99,15.91,3.14,290.73,197.87,230.96,197.88,0.00,99.00,0.17,
S000002_001.trj,1505.50,278.75,201.17,0.00,2.60,1.80,14.12,0.19,-0.57,-2.87,0.10,0.00,6:00,rear end,14.03,179.99,797,2,1,4.14,2.08,179.99,14.12,0.10,282.98,201.17,249.73,201.18,798,2,1,4.41,2.05,179.99,13.94,0.09,312.25,201.17,271.04,201.17,0.00,99.00,0.39,
S000002_001.trj,1509.00,264.28,201.18,0.00,1.70,2.90,11.89,0.80,-0.53,-3.08,0.41,0.00,6:00,rear end,10.70,179.99,798,2,1,4.41,2.05,179.99,10.29,0.41,264.28,201.18,245.33,201.18,799,2,1,4.59,2.04,179.99,11.09,0.39,302.48,201.17,256.29,201.18,0.00,99.00,0.07,
S000002_001.trj,1510.50,280.47,201.17,0.00,2.90,0.70,14.13,1.95,-2.26,-3.26,1.00,0.00,5:59,rear end,13.13,179.99,799,2,1,4.59,2.04,179.99,12.18,0.95,280.47,201.17,259.09,201.18,803,2,1,4.32,2.06,179.99,14.13,1.00,293.43,201.17,268.31,201.17,0.00,0.60,99.00,
S000002_001.trj,1513.40,252.65,197.88,0.00,2.30,1.80,10.01,3.70,-2.92,-2.92,1.91,7.75,5:45,lane change,8.28,182.91,802,2,2,4.50,2.11,179.99,10.01,1.79,252.65,197.88,233.85,197.88,803,2,1,4.32,2.06,187.74,6.47,1.91,267.65,201.18,243.70,197.92,0.00,99.00,0.25,
S000002_001.trj,1516.50,274.69,197.87,0.00,1.70,2.70,15.65,4.21,-0.51,-2.88,2.19,2.99,5:54,lane change,13.66,181.77,804,2,2,4.32,2.06,179.99,11.51,2.19,278.11,197.87,246.91,197.88,808,2,1,4.75,2.03,182.98,15.65,2.02,320.17,201.17,257.59,197.91,0.00,1.00,0.16,
S000002_001.trj,1542.90,276.38,201.17,0.00,1.50,2.20,13.60,3.65,-0.54,-3.13,1.85,1.96,5:56,lane change,11.76,181.11,814,2,1,4.32,2.06,179.99,9.97,1.80,292.47,201.17,271.69,201.17,816,2,1,4.14,2.08,181.95,13.60,1.85,335.14,201.16,280.29,199.30,0.00,1.20,0.05,
